schule;lng;lat;fach;jahr
Berufschule Nord;11.451602;53.897942;Agrar;2019-/20
RBB LRO;12.189538;53.803155;Agrar;2019-/20
RBB LRO;12.189538;53.803155;Agrar;2019-/20
Berufliche Schule MSE Neustrelitz;13.073020;53.360115;Agrar;2019-/20
Berufliche Schule MSE Neustrelitz;13.073020;53.360115;Metall;2019-/20
Berufschule Nord;11.451602;53.897942;Metall;2019-/20
RBB LRO;12.189538;53.803155;Metall;2019-/20
BS Technik;12.189538;54.16666;Metall;2019-/20
BS Technik;12.189538;54.16666;Metall;2019-/20
RBB LRO;12.189538;53.803155;Sozial;2020-/21
BS Alexander Schmorell;12.189538;54.16666;Gesundheit;2020-/21
BS Alexander Schmorell;12.189538;54.16666;Gesundheit;2020-/21
RBB Müritz;12.683333;53.516667;Gesundheit;2020-/21
RBB Müritz;12.683333;53.516667;Gesundheit;2020-/21
GeSoTec;13.277927;53.567829;Gesundheit;2020-/21
GeSoTec;13.277927;53.567829;Gesundheit;2020-/21
BS Technik;12.189538;54.16666;Metall;2020-/21
RBB LRO;12.189538;53.803155;Sozial;2020-/21
LernWert ;11.451602;53.897942;Sozial;2020-/21
BS Alexander Schmorell;12.189538;54.16666;Gesundheit;2021-/22
ILL;12.189538;54.092441;Sozial;2021-/22
GeSoTec;13.277927;53.567829;Gesundheit;2021-/22
DBZ;11.4012;53.6355;Sozial;2021-/22
RBB LRO;12.189538;53.803155;Agrar;2021-/22
Berufschule Nord;11.451602;53.897942;Sozial;2021-/22
BS Alexander Schmorell;12.189538;54.16666;Gesundheit;2021-/22
BS Alexander Schmorell;12.189538;54.16666;Gesundheit;2021-/22
GeSoTec;13.277927;53.567829;Gesundheit;2021-/22
RBB Müritz;12.683333;53.516667;Gesundheit;2020-/21
BS Alexander Schmorell;12.189538;54.16666;Sozial;2021-/22
Hochschule Wismar;11.451602;53.897942;Metall;2021-/22
Hochschule Wismar;11.451602;53.897942;Metall;2021-/22
RBB LRO;12.189538;53.803155;Agrar;2021-/22
RBB VR;13.0946;54.3171;Sozial;2021-/22
BS Wirtschaft und Verwaltung;13.277927;53.567829;Sozial;2021-/22
BS Technik;12.189538;54.16666;Metall;2021-/22
RBB VG;13.7666;54.0496;Sozial;2021-/22
RBB VR;13.0946;54.3171;Sozial;2021-/22
BS Technik;12.189538;54.16666;Metall;2021-/22
BS Alexander Schmorell;12.189538;54.16666;Sozial;2021-/22
